Time,xAcc,yAcc,zAcc,latitude,longitude,alt
61310724,-0.02,0,-0.17,2.5,5.6,0.53
61323539,-0.03,0,-0.17,2.5,5.6,0.53
61333840,-0.03,0,-0.18,2.5,5.6,0.51
61348342,-0.01,0,-0.18,2.5,5.6,0.53
61358683,-0.02,0.01,-0.16,2.5,5.6,0.53
61371799,-0.02,0.01,-0.19,2.5,5.6,0.51
61381804,-0.01,0.01,-0.2,2.5,5.6,0.52
61394857,-0.01,-0.01,-0.15,2.5,5.6,0.52
61407720,-0.02,0.01,-0.17,2.5,5.6,0.52
61417924,-0.01,0,-0.18,2.5,5.6,0.52
61428652,-0.02,0,-0.2,2.5,5.6,0.51
61438774,-0.01,0,-0.15,2.5,5.6,0.53
61451032,-0.02,0.01,-0.18,2.5,5.6,0.52
61461037,-0.02,0.01,-0.15,2.5,5.6,0.53
61471040,-0.02,0.01,-0.19,2.5,5.6,0.52
61481043,-0.01,0,-0.18,2.5,5.6,0.52
61491046,0,0,-0.19,2.5,5.6,0.52
61501050,-0.01,0,-0.18,2.5,5.6,0.52
61511053,-0.04,0.02,-0.17,2.5,5.6,0.53
61521055,-0.02,0,-0.17,2.5,5.6,0.52
61531059,-0.04,0,-0.19,2.5,5.6,0.51
61541877,-0.03,0.02,-0.17,2.5,5.6,0.5
61551881,-0.01,0.01,-0.17,2.5,5.6,0.52
61563586,-0.02,0,-0.17,2.5,5.6,0.53
61573590,-0.03,0.01,-0.16,2.5,5.6,0.52
61584373,-0.01,0,-0.2,2.5,5.6,0.53
61594769,0,0.01,-0.17,2.5,5.6,0.53
61607232,-0.02,0,-0.21,2.5,5.6,0.51
61617234,-0.01,0,-0.16,2.5,5.6,0.51
61631932,0,0.01,-0.18,2.5,5.6,0.52
61641934,-0.04,0,-0.2,2.5,5.6,0.52
61654787,-0.02,0,-0.17,2.5,5.6,0.52
61666850,-0.03,0,-0.16,2.5,5.6,0.51
61678215,-0.01,0,-0.19,2.5,5.6,0.52
