Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
85873915,0.01,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
85883918,0.02,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
85894785,0.02,-0.02,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
85906789,0,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
85922536,0.02,-0.01,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
85932539,0,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
85945389,0,0,-0.2,4713.44,849.06,0.49,-10000,-10000,-14.5
85957705,0.01,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
85969599,0.01,-0.02,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
85980722,0.01,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
85995368,0.02,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86009850,0,-0.01,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86020494,-0.01,-0.01,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
86031559,0.01,0,-0.15,4713.44,849.06,0.52,-10000,-10000,-14.5
86041561,0.03,-0.01,-0.19,4713.44,849.06,0.48,-10000,-10000,-14.5
86051565,0,-0.01,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
86062869,0,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
86072872,0.02,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
86082875,0,0,-0.16,4713.44,849.06,0.5,-10000,-10000,-14.5
86092879,0.02,0,-0.22,4713.44,849.06,0.48,-10000,-10000,-14.5
86102882,0,0,-0.2,4713.44,849.06,0.49,-10000,-10000,-14.5
86112886,0,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
86124766,0,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
86134770,0,-0.01,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
86148954,0.01,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
86160662,0.01,-0.01,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
86175542,0,0,-0.16,4713.44,849.06,0.51,-10000,-10000,-14.5
86189391,0,0.01,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
86205268,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86216558,0,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
86229786,0.01,-0.01,-0.16,4713.44,849.06,0.51,-10000,-10000,-14.5
86240914,0.02,0,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
86251328,0,-0.01,-0.21,4713.44,849.06,0.48,-10000,-10000,-14.5
86264537,0,-0.02,-0.17,4713.44,849.06,0.49,-10000,-10000,-14.5
86274756,0.01,-0.01,-0.19,4713.44,849.06,0.48,-10000,-10000,-14.5
86284762,0.02,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
86295122,0,0,-0.2,4713.44,849.06,0.49,-10000,-10000,-14.5
86307522,0.02,0,-0.19,4713.44,849.06,0.51,-10000,-10000,-14.5
86320267,0,0,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
86334933,0.03,-0.02,-0.17,4713.44,849.06,0.51,-10000,-10000,-14.5
86345409,0.01,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86360765,0.01,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
86375914,0.01,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
86389994,0,0,-0.21,4713.44,849.06,0.49,-10000,-10000,-14.5
86404711,0.01,-0.01,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
86414714,0,0,-0.18,4713.44,849.06,0.48,-10000,-10000,-14.5
