Time,xAcc,yAcc,zAcc,latitude,longitude,alt
102728583,0.02,0,-0.17,2.5,5.6,0.5
102738586,0.03,0,-0.2,2.5,5.6,0.51
102748591,0.04,-0.01,-0.19,2.5,5.6,0.5
102758594,0.02,0,-0.16,2.5,5.6,0.5
102768598,0.03,0.01,-0.15,2.5,5.6,0.5
102778602,0.03,-0.01,-0.17,2.5,5.6,0.51
102790540,0.03,0,-0.17,2.5,5.6,0.5
102800543,0.02,-0.01,-0.18,2.5,5.6,0.5
102813806,0.04,0.01,-0.16,2.5,5.6,0.51
102829726,0.06,0.01,-0.19,2.5,5.6,0.5
102841592,0.02,0.01,-0.16,2.5,5.6,0.5
102851627,0.01,0,-0.17,2.5,5.6,0.49
102865183,0.03,0.01,-0.18,2.5,5.6,0.5
102876140,0.02,0,-0.18,2.5,5.6,0.5
102889586,0.02,0.01,-0.2,2.5,5.6,0.49
102899589,0.03,0,-0.18,2.5,5.6,0.51
102911130,0.03,0,-0.18,2.5,5.6,0.49
102921134,0.02,-0.01,-0.19,2.5,5.6,0.49
102931394,0.04,0,-0.17,2.5,5.6,0.48
102941398,0.04,0,-0.18,2.5,5.6,0.49
102951403,0.05,-0.01,-0.17,2.5,5.6,0.51
102961406,0.02,-0.01,-0.17,2.5,5.6,0.5
102972164,0.03,0,-0.16,2.5,5.6,0.49
102982169,0.03,-0.01,-0.19,2.5,5.6,0.49
102992888,0.03,0,-0.17,2.5,5.6,0.49
103004418,0.03,0,-0.19,2.5,5.6,0.49
103019333,0.01,-0.01,-0.19,2.5,5.6,0.5
103029336,0.01,-0.02,-0.18,2.5,5.6,0.51
103042458,0.03,-0.01,-0.19,2.5,5.6,0.49
103056463,0.05,0,-0.14,2.5,5.6,0.5
103066637,0.03,0,-0.17,2.5,5.6,0.52
103077019,0.02,0,-0.17,2.5,5.6,0.5
103087024,0.03,-0.01,-0.18,2.5,5.6,0.49
103097279,0.03,0,-0.18,2.5,5.6,0.49
103107281,0.03,-0.01,-0.18,2.5,5.6,0.49
103117284,0.02,-0.01,-0.2,2.5,5.6,0.49
103127313,0.03,0,-0.17,2.5,5.6,0.48
103137326,0.03,-0.01,-0.16,2.5,5.6,0.49
103147412,0.04,-0.01,-0.19,2.5,5.6,0.5
103157416,0.04,0,-0.18,2.5,5.6,0.5
103168284,0.04,-0.01,-0.15,2.5,5.6,0.49
103178287,0.05,-0.01,-0.16,2.5,5.6,0.5
103188290,0.03,0,-0.16,2.5,5.6,0.5
103200138,0.04,0.01,-0.18,2.5,5.6,0.5
103210142,0.02,0,-0.19,2.5,5.6,0.49
103220145,0.04,-0.01,-0.18,2.5,5.6,0.5
103230147,0.03,-0.01,-0.15,2.5,5.6,0.5
103241544,0.02,0,-0.18,2.5,5.6,0.5
103251547,0.03,0,-0.18,2.5,5.6,0.52
103262758,0.04,0,-0.18,2.5,5.6,0.5
103272913,0.05,0,-0.15,2.5,5.6,0.51
103284617,0.03,0,-0.19,2.5,5.6,0.51
103296220,0.02,0,-0.16,2.5,5.6,0.5
103310654,0.02,0,-0.17,2.5,5.6,0.51
103320657,0.03,0,-0.19,2.5,5.6,0.49
103332687,0.02,0,-0.19,2.5,5.6,0.49
103342694,0.02,0,-0.15,2.5,5.6,0.49
103355769,0.03,0,-0.18,2.5,5.6,0.5
103367382,0.04,0,-0.17,2.5,5.6,0.5
